ID;parent_ID;uom_code;dimensions;integerValue;forecastValue;targetValue;criticality_code;integerValueWithUoM
85c94084-f705-4614-a38b-b104509495b4;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;24;66;99;142;3;66
bc2c2b65-8b5d-41f1-b1cf-e5ef950fd656;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;25;68;102;146;0;68
591ff44a-a7e9-4a28-b8cb-4e4909d1dd3d;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;26;70;105;150;1;70
a0e99fe4-a0ae-4f8e-a6b6-0f51ab0ae71a;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;27;72;108;154;2;72
03c45a3d-e863-4aeb-8983-b47bcad6fd5d;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;28;74;111;158;3;74
4f849a45-0463-4cc2-8c38-61bd620a5073;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;29;76;114;162;0;76
776446fe-1e8b-40e7-8467-7e5deb2fa530;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;30;78;117;166;1;78
ac030d47-20d8-4122-8ab2-8086c0ef8d6f;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;1;20;30;50;0;20
a5922adb-9311-4679-a6c7-1efe6fc4bd39;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;2;22;33;54;1;22
791a26e7-8b22-45fc-ae72-44224d8a4194;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;3;24;36;58;2;24
7ba50f55-2496-44e6-9f5c-46ccc3806420;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;4;26;39;62;3;26
6d551fc6-e1f3-4264-ac43-8dd92451200c;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;5;28;42;66;0;28
2c4a2207-da3c-4892-9b9d-a72aad26bf70;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;6;30;45;70;1;30
7d337a09-b16a-4e26-acf7-bc64b69638cd;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;7;32;48;74;2;32
e999116a-dce1-441e-a57b-77c079afb30d;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;8;34;51;78;3;34
3e45d5e3-db78-4998-877e-496b7e9cd5f9;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;9;36;54;82;0;36
57b3038e-2f23-4ac5-b361-2c9a85501de6;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;10;38;57;86;1;38
ad466ace-50ad-4374-a7b4-204e850890f4;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;11;40;60;90;2;40
89f6acb4-e5cf-41c0-8840-d236bb8c09c7;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;12;42;63;94;3;42
8cc7995b-4993-45e6-99ec-ef2a79c558f5;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;13;44;66;98;0;44
f5d2f1f6-f248-46ab-92be-f862417e8d55;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;14;46;69;102;1;46
8b66804c-4704-4f2b-9df8-20b12713391a;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;15;48;72;106;2;48
14376d07-babe-43eb-ab76-30d788bcc9f7;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;16;50;75;110;3;50
9a204e97-c72d-4024-bcb7-5eafbfd843ba;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;17;52;78;114;0;52
d0059afe-0104-4f71-8f77-2c20f1f94605;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;18;54;81;118;1;54
2db9ea95-11b4-4c42-a8ce-6bacf55d6682;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;19;56;84;122;2;56
04e18dcb-67b4-4ded-8636-a841c34be0fe;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;20;58;87;126;3;58
a877b3ab-812e-43a0-9237-c9da6a5681cb;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;21;60;90;130;0;60
39245f56-2e7a-4680-941b-1ef3328bd502;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;22;62;93;134;1;62
83396c5e-d28f-47c1-98be-9aba192e3e1a;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;23;64;96;138;2;64
908760ce-648f-456d-87ed-18355978bf16;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;24;66;99;142;3;66
c19961e2-e32d-48a6-9b42-f42c0a852d45;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;25;68;102;146;0;68
8537e4ac-ab68-4452-bf48-47429f0114aa;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;26;70;105;150;1;70
b331eac8-b32d-4e74-bfad-f471b51237c4;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;27;72;108;154;2;72
da118f72-dc75-4611-baa9-b4a7ccf17b59;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;28;74;111;158;3;74
a4a2dccb-abc7-4bbd-a521-55a1cc925ba4;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;29;76;114;162;0;76
87750066-a457-42d1-8a1c-709c3b11d25b;c5d24ecb-8b18-459f-be21-4e7d5727fb56;length-meter;30;78;117;166;1;78
eca7380a-9c38-441a-883e-8006fb223e39;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;1;20;30;50;0;20
3ec45e67-be16-4472-ba25-7fe3653c8a9e;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;2;22;33;54;1;22
a71c252c-ae66-40ae-9537-39bebc8f836e;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;3;24;36;58;2;24
3325b6e6-cfce-4f64-b944-0624df340385;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;4;26;39;62;3;26
ccd16aec-8cfa-4831-8819-9a302d912638;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;5;28;42;66;0;28
bcbf68e6-b8f4-4714-a0bd-be903647c18e;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;6;30;45;70;1;30
d9c42f52-2df9-412f-a593-eacff4af98ae;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;7;32;48;74;2;32
45fd4e86-f02e-4b13-8667-96e87cfc5f4a;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;8;34;51;78;3;34
0dfe267a-fcbf-433f-a66c-eb4dd8aab2b4;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;9;36;54;82;0;36
ea5a892e-86cc-42a4-aa32-948317783842;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;10;38;57;86;1;38
fb9297f5-fed0-467f-b7c6-0540b1548abb;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;11;40;60;90;2;40
e89454bb-c4f8-4c1c-a1d7-de0e7dc66fc6;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;12;42;63;94;3;42
b9c7fd82-e478-496d-a958-73548c237143;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;13;44;66;98;0;44
3fbdf916-2643-4996-81c9-1b285fb6244e;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;14;46;69;102;1;46
b43d80a6-1681-4623-bfe2-205694fc86c0;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;15;48;72;106;2;48
4cf86015-96ec-4e63-9432-43571bb5a96c;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;16;50;75;110;3;50
7c15eca1-aba3-414e-b329-5c93ed0f6019;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;17;52;78;114;0;52
b67700b7-fbe8-4d83-923a-514c79b7e7e0;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;18;54;81;118;1;54
4a2a32d6-64b5-4ac1-958c-0835fe0d63b2;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;19;56;84;122;2;56
c661ee7b-e3dd-4bae-9550-a09d5b9774cc;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;20;58;87;126;3;58
ea9078f5-d42b-411f-8587-0941136d0e63;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;21;60;90;130;0;60
44e5e0ab-9133-446b-9900-a4f4258f3479;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;22;62;93;134;1;62
2753a173-f53b-48d5-9cfd-af48361b569c;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;23;64;96;138;2;64
925a024c-76a6-49bc-a36c-60b20997624c;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;24;66;99;142;3;66
a755d024-9c81-44e0-8565-bbaec0742a7f;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;25;68;102;146;0;68
d29d9919-2f22-455a-ad15-fd73c6649bfe;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;26;70;105;150;1;70
d9cfebec-5762-403f-adcf-5bd04007cffd;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;27;72;108;154;2;72
c12867e1-0609-45a9-af5a-64412e2e50cd;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;28;74;111;158;3;74
6dacca86-59cf-47a6-8d3b-a43d2fc69c2c;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;29;76;114;162;0;76
ceab61ff-1e20-48e6-8665-18eda281c41a;10cb1ac9-bc9c-408b-b44d-e2ea1d5c353d;length-meter;30;78;117;166;1;78
7a4e2311-50c0-4ad0-9e5a-52b43f3de7de;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;1;20;30;50;0;20
912389c6-6c7d-4d40-9477-77f9ef8105fe;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;2;22;33;54;1;22
87ebfd15-bd30-4f92-9add-2cc15f2bfc0a;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;3;24;36;58;2;24
507a9c6c-babc-45e8-b623-e80df0d56254;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;4;26;39;62;3;26
74141266-d68b-4425-a821-6f0b8c3ca8a7;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;5;28;42;66;0;28
ac8b6942-b719-4d34-9665-15962f54ab50;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;6;30;45;70;1;30
bb26edeb-8247-4b0f-acea-82f0ef639081;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;7;32;48;74;2;32
1bd68aca-bf9f-4b60-b7ce-6f3a2434a3b9;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;8;34;51;78;3;34
3705aab3-84b6-49c2-b83d-43ba8990dd1c;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;9;36;54;82;0;36
aa061a65-8a97-4356-bcf5-e6480fcaecb3;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;10;38;57;86;1;38
07b39019-5d18-4e4c-a013-bafef7f70d8e;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;11;40;60;90;2;40
eb789e92-1e76-45de-9177-300f2b36ef87;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;12;42;63;94;3;42
bd299e1f-2d1e-4a76-b816-9b6983e9a9dc;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;13;44;66;98;0;44
f2b4ad46-9300-4766-b5a0-2381aef6de23;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;14;46;69;102;1;46
99ce304c-95e4-473e-bcd5-254365cdef85;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;15;48;72;106;2;48
c8f5b102-d8eb-4a19-be64-a24f1c002e15;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;16;50;75;110;3;50
7de5aacb-56c9-449c-b2ed-ce39466b4e61;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;17;52;78;114;0;52
1b94059a-5ae5-4833-9a22-dbd5e25b18cf;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;18;54;81;118;1;54
3ee53ec6-dfa3-471f-bd8a-bfb908553057;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;19;56;84;122;2;56
c8c526b0-9243-4d8e-bcc5-f868830e172b;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;20;58;87;126;3;58
8930d3ed-17de-45d9-8802-f96db4f10ed3;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;21;60;90;130;0;60
f9137b5e-2ea0-409d-8955-918a37f11e24;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;22;62;93;134;1;62
f2711d00-4c48-486b-be64-d5a8a39cb8b0;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;23;64;96;138;2;64
688d5541-d651-415c-b2c2-12fa53c97cf7;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;24;66;99;142;3;66
8ab7540c-9962-4e9c-960b-2cfdabe9bd9c;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;25;68;102;146;0;68
26813df3-78e5-4064-a90d-82890b2f4da3;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;26;70;105;150;1;70
408d3875-c3d8-49ce-ae40-36b82eb35fff;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;27;72;108;154;2;72
c820f8e6-a1f7-4305-85e7-cf7939080de0;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;28;74;111;158;3;74
44e96b18-585b-44f0-b3c1-430c9bff6589;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;29;76;114;162;0;76
bb4f06a1-0c9e-4b0d-ba5b-9336ccb0c420;21541b40-f5a6-4e5c-bb86-b0c0fcbb7bea;length-meter;30;78;117;166;1;78
