code;country_code;name
IN-BR;IN;Bihār
IN-CT;IN;Chhattīsgarh
IN-GA;IN;Goa
IN-GJ;IN;Gujarāt
IN-HR;IN;Haryāna
IN-HP;IN;Himāchal Pradesh
IN-JH;IN;Jhārkhand
IN-KA;IN;Karnātaka
IN-KL;IN;Kerala
IN-MP;IN;Madhya Pradesh
IN-MH;IN;Mahārāshtra
IN-MN;IN;Manipur
IN-ML;IN;Meghālaya
IN-MZ;IN;Mizoram
IN-NL;IN;Nāgāland
IN-OR;IN;Odisha
IN-PB;IN;Punjab
IN-RJ;IN;Rājasthān
IN-SK;IN;Sikkim
IN-TN;IN;Tamil Nādu
IN-TG;IN;Telangāna
IN-TR;IN;Tripura
IN-UT;IN;Uttarākhand
IN-UP;IN;Uttar Pradesh
IN-WB;IN;West Bengal
IN-AN;IN;Andaman and Nicobar Islands
IN-CH;IN;Chandigarh
IN-DH;IN;Dādra and Nagar Haveli and Damān and Diu
IN-DL;IN;Delhi
IN-JK;IN;Jammu and Kashmīr
IN-LA;IN;Ladākh
IN-LD;IN;Lakshadweep
IN-PY;IN;Puducherry
MM-07;MM;Ayeyarwady
MM-02;MM;Bago
MM-03;MM;Magway
MM-04;MM;Mandalay
MM-01;MM;Sagaing
MM-05;MM;Tanintharyi
MM-06;MM;Yangon
MM-14;MM;Chin
MM-11;MM;Kachin
MM-12;MM;Kayah
MM-13;MM;Kayin
MM-15;MM;Mon
MM-16;MM;Rakhine
MM-17;MM;Shan
MM-18;MM;Nay Pyi Taw
US-AL;US;Alabama
US-AK;US;Alaska
US-AZ;US;Arizona
US-AR;US;Arkansas
US-CA;US;California
US-CO;US;Colorado
US-CT;US;Connecticut
US-DE;US;Delaware
US-FL;US;Florida
US-GA;US;Georgia
US-HI;US;Hawaii
US-ID;US;Idaho
US-IL;US;Illinois
US-IN;US;Indiana
US-IA;US;Iowa
US-KS;US;Kansas
US-KY;US;Kentucky
US-LA;US;Louisiana
US-ME;US;Maine
US-MD;US;Maryland
US-MA;US;Massachusetts
US-MI;US;Michigan
US-MN;US;Minnesota
US-MS;US;Mississippi
US-MO;US;Missouri
US-MT;US;Montana
US-NE;US;Nebraska
US-NV;US;Nevada
US-NH;US;New Hampshire
US-NJ;US;New Jersey
US-NM;US;New Mexico
US-NY;US;New York
US-NC;US;North Carolina
US-ND;US;North Dakota
US-OH;US;Ohio
US-OK;US;Oklahoma
US-OR;US;Oregon
US-PA;US;Pennsylvania
US-RI;US;Rhode Island
US-SC;US;South Carolina
US-SD;US;South Dakota
US-TN;US;Tennessee
US-TX;US;Texas
US-UT;US;Utah
US-VT;US;Vermont
US-VA;US;Virginia
US-WA;US;Washington
US-WV;US;West Virginia
US-WI;US;Wisconsin
US-WY;US;Wyoming
US-DC;US;District of Columbia
US-AS;US;American Samoa
US-GU;US;Guam
US-MP;US;Northern Mariana Islands
US-PR;US;Puerto Rico
US-UM;US;United States Minor Outlying Islands
US-VI;US;U.S. Virgin Islands
